clueweb12-0000tw-00-00009	Walt Disney World	/m/09b1k
clueweb12-0000tw-00-00034	CBS News	/m/01_8w2
clueweb12-0000tw-00-00067	St. Croix	/m/01hd63
clueweb12-0000tw-00-00037	Deutsche Boerse	/m/063dyk
clueweb12-0000tw-00-00054	Hayley Williams	/m/057xn_m
clueweb12-0000tw-00-00084	CTA	/m/025vyr
clueweb12-0000tw-00-00062	UFT	/m/0705j0
clueweb12-0000tw-00-00076	Shurikens	/m/011j2w
clueweb12-0000tw-00-00079	Aileen Lee	/m/02h67t_
clueweb12-0000tw-00-00070	Xbox World	/m/0g2wj5
clueweb12-0000tw-00-00019	Medicaid	/m/0fh83
clueweb12-0000tw-00-00019	U.S.	/m/0f1r9
clueweb12-0000tw-00-00059	Gothamist	/m/0h7tps
clueweb12-0000tw-00-00070	Mass Effect 3	/m/04f2mnn
clueweb12-0000tw-00-00074	PSN	/m/0c1jl_
clueweb12-0000tw-00-00041	CBS News	/m/01_8w2
clueweb12-0000tw-00-00054	Manggarai	/m/05zprn3
clueweb12-0000tw-00-00062	NYPD	/m/015ppk
clueweb12-0000tw-00-00066	Simmi	/m/063__x
clueweb12-0000tw-00-00089	IMHO	/m/01yjl
clueweb12-0000tw-00-00057	Brian Jacob	/m/07t3gd
clueweb12-0000tw-00-00038	Deutsche Boerse	/m/063dyk
clueweb12-0000tw-00-00066	NY Times	/m/07k2d
clueweb12-0000tw-00-00057	Giglio	/m/02y4yg
clueweb12-0000tw-00-00062	Cornelius Vanderbilt	/m/01w6y_
clueweb12-0000tw-00-00039	WordPress	/m/0cp0_3x
clueweb12-0000tw-00-00073	Gotham City Impostors	/m/0gw_ffl
clueweb12-0000tw-00-00054	ABC World News	/m/01bnbs
clueweb12-0000tw-00-00083	control panel	/m/05gw3_
clueweb12-0000tw-00-00045	Login	/m/05hgxb
clueweb12-0000tw-00-00071	eReader	/m/0hhssjq
clueweb12-0000tw-00-00086	UX	/m/026k__h
clueweb12-0000tw-00-00039	CBS News	/m/01_8w2
clueweb12-0000tw-00-00054	ismail marzuki	/m/03gx1f4
clueweb12-0000tw-00-00070	Netflix	/m/017rf_
clueweb12-0000tw-00-00039	Total SA	/m/03d938
clueweb12-0000tw-00-00054	mahkota	/m/0bh6ry6
clueweb12-0000tw-00-00054	nama	/m/06vg3n
clueweb12-0000tw-00-00035	CBS News	/m/01_8w2
